"Cat","Service","Domain","DnsMs","DnsOk","Http","NameMs","ConnMs","TlsMs","TtfbMs","TotalMs","HttpOk","Error"
"music","QQ Music","y.qq.com","315","True","200","20","70","177","310","310","True",""
"music","QQ Music API","c.y.qq.com","76","True","404","16","135","410","523","523","True",""
"music","NetEase Music","music.163.com","81","True","200","14","74","134","344","344","True",""
"music","NetEase API","interface.music.163.com","56","True","200","14","114","269","406","407","True",""
"music","Apple Music","music.apple.com","104","True","200","25","89","195","2118","2118","True",""
"music","Apple CDN","is1-ssl.mzstatic.com","49","True","403","12","94","185","356","356","True",""
"music","Kugou","www.kugou.com","87","True","200","16","57","147","202","202","True",""
"music","Spotify","open.spotify.com","102","True","ERR",,,,,,"False","000 0.037172 0.000000 0.000000 0.000000 2.372485"
"music","Amazon Music","music.amazon.com","123","True","ERR",,,,,,"False","000 0.038707 0.000000 0.000000 0.000000 5.002713"
"music","Tidal","tidal.com","155","True","403","13","371","722","1139","1139","True",""
"music","TuneIn","tunein.com","1044","True","403","27","255","516","785","785","True",""
"music","Audible","www.audible.com","64","True","405","18","327","672","1085","1085","True",""
"music","Apple Podcasts","podcasts.apple.com","111","True","200","24","111","198","2676","2676","True",""
"music","LiveOne","www.liveone.com","3569","True","200","20","266","1814","2187","2187","True",""
"music","YouTube Music","music.youtube.com","84","True","ERR",,,,,,"False","000 0.013054 0.000000 0.000000 0.000000 5.013793"
"video","Douyin","www.douyin.com","65","True","404","15","67","153","779","780","True",""
"video","Xigua","www.ixigua.com","72","True","200","19","86","188","378","378","True",""
"video","Toutiao","www.toutiao.com","58","True","200","12","88","169","317","317","True",""
"video","iQiyi","www.iqiyi.com","74","True","200","12","99","189","261","261","True",""
"video","Bilibili","www.bilibili.com","78","True","200","19","71","195","274","274","True",""
"video","Mango TV","www.mgtv.com","90","True","200","15","72","175","337","337","True",""
"video","Netflix","www.netflix.com","52","True","403","14","245","529","817","817","True",""
"video","Tencent Video","v.qq.com","48","True","200","56","130","246","411","412","True",""
"video","Youku","www.youku.com","73","True","200","15","79","286","376","376","True",""
